steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
10056	257	150.3707094192505	131.26	131.0	3.688967992336725	139.0	122.0	1.042837043331968	0.00137853225832092	9056
20092	325	342.1421649456024	200.0	200.0	0.0	200.0	200.0	1.4970589799028613	0.0015534153825103474	19092
30133	384	530.792943239212	200.0	200.0	0.0	200.0	200.0	1.0864036591344675	0.0005770070564440508	29133
40180	452	715.8119266033173	199.57	200.0	2.731244582547848	200.0	176.0	1.0314129506772034	0.001738426211363375	39180
50164	525	901.3794538974762	200.0	200.0	0.0	200.0	200.0	0.8693610971322885	0.0007532321738069843	49164
60050	591	1079.4565379619598	200.0	200.0	0.0	200.0	200.0	0.8022797474814104	0.001491382880862901	59050
70167	652	1277.0144872665405	200.0	200.0	0.0	200.0	200.0	0.892969929143799	0.001139160108218362	69167
80075	723	1463.3159415721893	200.0	200.0	0.0	200.0	200.0	0.6252706826893133	0.0005587443612599599	79075
90136	805	1657.1654314994812	200.0	200.0	0.0	200.0	200.0	0.4946096996900771	0.00039376032557317443	89136
100000	873	1843.0433917045593	200.0	200.0	0.0	200.0	200.0	0.3637734945498883	0.00028785003645121713	99000
